"","algorithm","iterations","swarm_size","design_pts","problem","obj_value","time"
"401","PSO",200,50,3,"5",-3.52698728027945,1.91079831123352
"402","PSO",200,50,3,"6",-75.1819821602302,3.41256928443909
"403","PSO",200,50,4,"1",-1.12591581404942,2.2903459072113
"404","PSO",200,50,4,"2",-7.66237443605556,2.33796453475952
"405","PSO",200,50,4,"3",34.0251841594765,2.67800569534302
"406","PSO",200,50,4,"4",-9.19046603921953,2.4359188079834
"407","PSO",200,50,4,"5",-3.52757976194412,2.65920233726501
"408","PSO",200,50,4,"6",-50.4864119603122,2.89497995376587
"409","PSO",200,50,5,"1",-1.12594714082417,2.9431619644165
"410","PSO",200,50,5,"2",-7.57861460419171,2.99743556976318
"411","PSO",200,50,5,"3",34.0212910579913,3.50129532814026
"412","PSO",200,50,5,"4",-8.13211448622296,3.04791665077209
"413","PSO",200,50,5,"5",-3.53255460576031,3.44233369827271
"414","PSO",200,50,5,"6",-50.4863564447746,3.80722904205322
"415","PSO",200,100,3,"1",-1.12592247571233,3.19667768478394
"416","PSO",200,100,3,"2",-7.57857467607449,3.20027112960815
"417","PSO",200,100,3,"3",6.21362798029047,6.12202882766724
"418","PSO",200,100,3,"4",-7.51464110154958,3.21647095680237
"419","PSO",200,100,3,"5",-3.52667116788288,3.6990659236908
"420","PSO",200,100,3,"6",-74.8283882540201,6.2594952583313
"421","PSO",200,100,4,"1",-1.1259189478161,4.35805249214172
"422","PSO",200,100,4,"2",-7.51067404692128,4.42385840415955
"423","PSO",200,100,4,"3",34.0251957029966,5.2032356262207
"424","PSO",200,100,4,"4",-7.45578511973035,4.57617044448853
"425","PSO",200,100,4,"5",-3.52675879390245,4.86627173423767
"426","PSO",200,100,4,"6",-39.5051402818767,5.98322701454163
"427","PSO",200,100,5,"1",-1.12591320330945,5.4946711063385
"428","PSO",200,100,5,"2",-7.57856214750168,5.73664259910583
"429","PSO",200,100,5,"3",34.025167404423,6.34298610687256
